phy_order,Cohort,Status,Proportions
CACO,28-Oct,No.Flower,0.166666667
CACO,18-Nov,No.Flower,0.266666667
CACO,9-Dec,No.Flower,0.055555556
CACO,30-Dec,No.Flower,0
CACO,27-Jan,No.Flower,0.315789474
CACO,24-Feb,No.Flower,0.8
CACO,24-Mar,No.Flower,0.5
CAIN,7-Oct,No.Flower,0.020833333
CAIN,28-Oct,No.Flower,0.222222222
CAIN,18-Nov,No.Flower,0.2
CAIN,9-Dec,No.Flower,0.121212121
CAIN,30-Dec,No.Flower,0.1
CAIN,27-Jan,No.Flower,0.25
CAIN,24-Feb,No.Flower,0.45
CAIN,24-Mar,No.Flower,0.5
