folder,specimen,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
c_amplexicaulis,1173727,5,6,1990,34.24996,-117.634908,2000,1360,2200
c_amplexicaulis,1566420,11,6,2001,34.27368,-117.61489,200,2145,2325
c_amplexicaulis,C38169,7,7,1948,34.274177,-117.635597,500,2200,2350
c_amplexicaulis,23089783,27,7,1968,34.287421,-117.638903,500,2800,3020
c_amplexicaulis,23089778,12,6,1971,34.283053,-117.626871,500,2743,NA
c_amplexicaulis,23089781,20,6,1966,34.23199,-117.590765,500,2094,2471
c_inflatus,23362262,27,3,1978,34.962482,-117.444544,500,739,762
c_amplexicaulis,1645074,2,6,2009,34.211032,-116.912333,500,1985,2350
c_hallii,978504,28,4,2016,33.626401,-116.458289,500,1380,1597
c_cooperi,1182874,23,4,2011,34.144004,-116.502158,200,1327,1384
c_cooperi,1599979,1,5,1995,34.414681,-117.605908,200,1344,1358
c_cooperi,1600074,5,4,1995,34.408179,-117.607444,200,1375,1394
c_amplexicaulis,1105244,20,6,2013,34.320792,-117.622809,200,2080,2245
c_inflatus,23362234,17,5,1978,35.026149,-117.550578,200,761,765
c_inflatus,23362263,17,5,1978,35.026149,-117.550578,200,761,765
c_cooperi,3829313,15,3,2017,34.239894,-114.793268,500,718,918
c_cooperi,3507580,14,3,2004,34.127614,-116.255687,200,797,825
c_inflatus,1458904,24,3,1987,35.18599,-117.445231,2000,940,1376
c_amplexicaulis,1465763,14,7,1995,34.265342,-117.6081,500,2351,2613
c_cooperi,936041,15,4,2015,34.318608,-116.783153,200,1655,1778
c_cooperi,655776,13,3,2016,34.128948,-116.501769,200,1150,1215
c_cooperi,977364,14,3,2015,34.212347,-116.508556,1000,1290,1429
c_cooperi,1458869,6,5,1991,34.266027,-116.277505,5000,707,880
c_cooperi,1474192,23,4,1995,34.338564,-116.691855,500,1126,1301
c_cooperi,1537389,5,4,2003,34.149015,-116.456045,200,1246,1297
s_cordatus,23072633,11,5,1940,35.242389,-115.331674,1000,1670,1902
c_amplexicaulis,1458861,24,6,1993,34.30472,-117.59444,100,1817,NA
c_amplexicaulis,UC205858,3,7,1917,34.270939,-117.62608,2000,2057,NA
c_amplexicaulis,UC205857,15,6,1917,34.227788,-117.641508,2000,1828,NA
c_amplexicaulis,UC205848,15,6,1917,34.227788,-117.641508,2000,1828,NA
c_heterophyllus,1483657,26,5,1999,34.12277778,-117.0766667,100,759,900
c_amplexicaulis,702165,3,7,1996,34.024069,-116.935826,500,1270,1440
c_hallii,466601,18,5,1990,33.326959,-116.714995,300,952,1013
c_heterophyllus,466672,29,1,2005,33.104047,-116.664217,500,1018,1121
c_simulans,251046,16,3,1973,33.098751,-116.489097,200,706,773
c_cooperi,466478,18,3,1939,33.138995,-116.405592,200,482,540
c_simulans,1442890,4,4,1966,33.124481,-116.436233,8000,578,808
c_simulans,466459,17,4,1935,33.071554,-116.512177,600,806,870
c_simulans,466460,17,4,1935,33.071554,-116.512177,600,806,870
c_heterophyllus,466581,23,5,1979,32.77323,-116.43462,400,1340,NA
c_heterophyllus,466580,6,6,1979,33.353689,-116.810881,2700,1621,1763
c_cooperi,466522,NA,3,1962,33.137335,-116.375462,300,423,451
c_cooperi,466447,6,3,1935,33.222521,-116.297788,3000,139,170
c_heterophyllus,466747,17,3,2008,32.975095,-117.023558,300,195,NA
c_simulans,1690548,23,2,2016,33.158593,-116.552456,300,824,850
c_heterophyllus,1442864,29,4,1981,32.834141,-117.049243,300,138,267
c_heterophyllus,466648,15,5,2004,32.859955,-116.740314,900,841,1162
c_heterophyllus,466647,17,4,2004,32.859955,-116.740314,900,841,1162
c_simulans,466692,22,4,2004,33.15534,-116.483792,500,762,830
c_hallii,466681,31,3,2005,33.09131,-116.41849,3000,680,1011
c_hallii,466784,4,4,2008,33.269172,-116.403442,100,220,NA
c_hallii,3585318,31,3,2011,33.419485,-116.475874,300,540,600
c_hallii,466838,31,3,2011,33.419485,-116.475874,300,540,600
c_cooperi,466848,14,3,2010,33.083176,-116.244876,3000,686,784
c_hallii,3700260,5,3,2017,33.301473,-116.405699,100,260,270
c_simulans,466862,4,3,2014,33.21946,-116.471689,100,1162,1184
c_cooperi,466704,20,2,2005,33.116432,-116.416449,1500,510,645
c_cooperi,466872,13,3,2011,33.097131,-116.33433,200,585,623
c_hallii,466860,20,2,2014,33.205561,-116.466497,1200,1044,1113
c_hallii,3583276,20,2,2014,33.205561,-116.466497,1200,1044,1113
c_cooperi,466891,26,2,2015,33.181232,-116.37748,500,398,440
c_hallii,466892,10,3,2015,33.315463,-116.368215,2000,190,217
c_heterophyllus,3700261,26,5,2003,32.99458,-116.541275,1500,1400,1480
c_hallii,466893,15,4,2015,33.36724,-116.60178,100,1577,NA
c_heterophyllus,466894,15,4,2015,33.380963,-116.595574,800,1498,1596
c_cooperi,466633,6,4,2002,33.11361,-116.45,100,750,NA
c_cooperi,466683,27,2,2005,33.032103,-116.380638,1000,848,931
c_hallii,466680,27,2,2005,33.033144,-116.378801,1000,878,1003
c_simulans,466808,17,4,2001,33.21831,-116.488225,500,1265,1395
c_hallii,1444139,19,3,1976,33.398908,-116.431559,1500,611,730
c_heterophyllus,466868,18,4,2012,33.109223,-116.568515,1000,1119,1552
c_heterophyllus,376971,6,4,1962,32.674998,-116.672841,100,453,523
c_hallii,393194,7,5,2008,33.374065,-116.692577,5000,1260,1323
c_simulans,393195,7,5,2008,33.374065,-116.692577,5000,1260,1323
c_hallii,3540901,7,5,2008,33.374065,-116.692577,5000,1260,1323
c_simulans,3540902,7,5,2008,33.374065,-116.692577,5000,1260,1323
c_heterophyllus,466780,1,3,2009,33.063366,-117.086757,100,213,308
c_heterophyllus,466703,4,5,2006,33.236032,-116.642805,1500,911,991
c_hallii,466465,14,4,1936,33.278442,-116.4283,2500,228,580
c_cooperi,16783632,22,2,1966,33.199607,-116.302,5000,139,397
c_heterophyllus,466637,19,4,2003,32.63685,-116.34373,200,1130,1150
c_simulans,466636,12,5,2003,32.63685,-116.34373,200,1130,1150
c_cooperi,466479,31,3,1939,33.008031,-116.457471,2000,696,763
c_heterophyllus,466883,8,3,2017,32.719227,-117.245494,100,125,NA
c_heterophyllus,466852,14,4,2015,32.674757,-117.238193,75,32,82
c_heterophyllus,466851,11,3,2015,32.719227,-117.245494,600,15,58
c_simulans,251045,12,4,1975,33.080371,-116.525975,1000,770,NA
c_heterophyllus,393522,26,2,2008,33.35,-117.51,2500,76,496
c_heterophyllus,1681356,19,2,2015,33.230265,-117.385741,700,12,42
c_heterophyllus,466900,11,4,2017,33.36168,-117.243423,3000,192,256
c_heterophyllus,2181788,25,4,2018,33.388901,-117.325186,1500,68,228
c_heterophyllus,655683,10,4,2016,33.362422,-117.530549,2500,0,54
c_heterophyllus,466885,9,3,2017,33.359978,-117.529865,2100,94,224
c_heterophyllus,945049,6,5,2014,33.486903,-117.492722,1000,280,360
c_heterophyllus,466850,19,2,2015,33.230265,-117.385741,700,12,42
c_cooperi,466557,18,3,1973,32.97987,-116.420585,600,613,668
c_heterophyllus,466549,26,2,1971,32.887371,-117.24851,146,71,111
c_hallii,1430705,19,4,2008,33.016801,-116.516749,800,1305,1404
c_hallii,466786,19,4,2008,33.016801,-116.516749,800,1305,1404
c_hallii,466461,8,5,1935,33.390727,-116.688738,2000,1200,1300
c_heterophyllus,466854,23,3,2008,33.126018,-117.006085,25,203,NA
c_heterophyllus,656742,23,3,2008,33.126018,-117.006085,25,203,NA
c_heterophyllus,466867,11,4,2010,32.721324,-116.460447,25,1040,1058
c_heterophyllus,466767,14,3,2008,33.021732,-116.768651,730,786,924
c_heterophyllus,1474209,29,3,1994,32.862491,-116.686789,660,787,996
c_heterophyllus,466728,28,4,2007,33.029972,-116.673289,400,978,1021
c_heterophyllus,466840,14,4,2010,33.363766,-116.673753,950,1147,1200
c_hallii,466836,8,5,2010,33.362094,-116.671837,500,1170,1191
c_hallii,466839,31,5,2010,33.369851,-116.683597,1000,1223,1287
c_heterophyllus,466708,25,3,2007,32.79224,-116.61821,4000,663,903
c_heterophyllus,466695,23,3,2005,32.743067,-116.655982,2000,632,882
c_heterophyllus,466763,11,3,2010,32.891686,-116.823075,2000,245,NA
c_simulans,466798,8,3,2008,33.049953,-116.428651,1000,757,843
c_simulans,1430577,8,3,2008,33.049953,-116.428651,1000,757,843
c_hallii,1431473,20,4,2008,33.044148,-116.441371,300,834,893
