"Date.Time","Unit","temp","bench","block","hour","minute","Date"
2021-11-11 16:12:00,"C",22,1,13,16,12,2021-11-11
2021-11-11 17:12:00,"C",16.5,1,13,17,12,2021-11-11
2021-11-11 18:12:00,"C",14.5,1,13,18,12,2021-11-11
2021-11-11 19:12:00,"C",13.5,1,13,19,12,2021-11-11
2021-11-11 20:12:00,"C",12.5,1,13,20,12,2021-11-11
2021-11-11 21:12:00,"C",12,1,13,21,12,2021-11-11
2021-11-11 22:12:00,"C",11.5,1,13,22,12,2021-11-11
2021-11-11 23:12:00,"C",11.5,1,13,23,12,2021-11-11
2021-11-12 00:12:00,"C",11,1,13,0,12,2021-11-12
2021-11-12 01:12:00,"C",11,1,13,1,12,2021-11-12
2021-11-12 02:12:00,"C",10.5,1,13,2,12,2021-11-12
2021-11-12 03:12:00,"C",9.5,1,13,3,12,2021-11-12
2021-11-12 04:12:00,"C",9,1,13,4,12,2021-11-12
2021-11-12 05:12:00,"C",9,1,13,5,12,2021-11-12
2021-11-12 06:12:00,"C",9,1,13,6,12,2021-11-12
2021-11-12 07:12:00,"C",10,1,13,7,12,2021-11-12
2021-11-12 08:12:00,"C",12,1,13,8,12,2021-11-12
2021-11-12 09:12:00,"C",14,1,13,9,12,2021-11-12
2021-11-12 10:12:00,"C",16,1,13,10,12,2021-11-12
2021-11-12 11:12:00,"C",17.5,1,13,11,12,2021-11-12
2021-11-12 12:12:00,"C",20,1,13,12,12,2021-11-12
2021-11-12 13:12:00,"C",20.5,1,13,13,12,2021-11-12
2021-11-12 14:12:00,"C",20,1,13,14,12,2021-11-12
2021-11-12 15:12:00,"C",21,1,13,15,12,2021-11-12
2021-11-12 16:12:00,"C",19,1,13,16,12,2021-11-12
2021-11-12 17:12:00,"C",15,1,13,17,12,2021-11-12
2021-11-12 18:12:00,"C",13.5,1,13,18,12,2021-11-12
2021-11-12 19:12:00,"C",13,1,13,19,12,2021-11-12
2021-11-12 20:12:00,"C",12.5,1,13,20,12,2021-11-12
2021-11-12 21:12:00,"C",12.5,1,13,21,12,2021-11-12
2021-11-12 22:12:00,"C",12.5,1,13,22,12,2021-11-12
2021-11-12 23:12:00,"C",11.5,1,13,23,12,2021-11-12
2021-11-13 00:12:00,"C",11.5,1,13,0,12,2021-11-13
2021-11-13 01:12:00,"C",11.5,1,13,1,12,2021-11-13
2021-11-13 02:12:00,"C",11,1,13,2,12,2021-11-13
2021-11-13 03:12:00,"C",11,1,13,3,12,2021-11-13
2021-11-13 04:12:00,"C",10.5,1,13,4,12,2021-11-13
2021-11-13 05:12:00,"C",10.5,1,13,5,12,2021-11-13
2021-11-13 06:12:00,"C",10.5,1,13,6,12,2021-11-13
2021-11-13 07:12:00,"C",10.5,1,13,7,12,2021-11-13
2021-11-13 08:12:00,"C",11.5,1,13,8,12,2021-11-13
2021-11-13 09:12:00,"C",13.5,1,13,9,12,2021-11-13
2021-11-13 10:12:00,"C",14,1,13,10,12,2021-11-13
2021-11-13 11:12:00,"C",15.5,1,13,11,12,2021-11-13
2021-11-13 12:12:00,"C",18,1,13,12,12,2021-11-13
2021-11-13 13:12:00,"C",24.5,1,13,13,12,2021-11-13
2021-11-13 14:12:00,"C",24.5,1,13,14,12,2021-11-13
2021-11-13 15:12:00,"C",23,1,13,15,12,2021-11-13
2021-11-13 16:12:00,"C",18.5,1,13,16,12,2021-11-13
2021-11-13 17:12:00,"C",14.5,1,13,17,12,2021-11-13
2021-11-13 18:12:00,"C",13,1,13,18,12,2021-11-13
2021-11-13 19:12:00,"C",12,1,13,19,12,2021-11-13
2021-11-13 20:12:00,"C",12,1,13,20,12,2021-11-13
2021-11-13 21:12:00,"C",12,1,13,21,12,2021-11-13
2021-11-13 22:12:00,"C",12,1,13,22,12,2021-11-13
2021-11-13 23:12:00,"C",11.5,1,13,23,12,2021-11-13
2021-11-14 00:12:00,"C",12,1,13,0,12,2021-11-14
2021-11-14 01:12:00,"C",11.5,1,13,1,12,2021-11-14
2021-11-14 02:12:00,"C",11.5,1,13,2,12,2021-11-14
2021-11-14 03:12:00,"C",11.5,1,13,3,12,2021-11-14
2021-11-14 04:12:00,"C",11,1,13,4,12,2021-11-14
2021-11-14 05:12:00,"C",11,1,13,5,12,2021-11-14
2021-11-14 06:12:00,"C",11,1,13,6,12,2021-11-14
2021-11-14 07:12:00,"C",11,1,13,7,12,2021-11-14
2021-11-14 08:12:00,"C",11.5,1,13,8,12,2021-11-14
2021-11-14 09:12:00,"C",12.5,1,13,9,12,2021-11-14
2021-11-14 10:12:00,"C",13.5,1,13,10,12,2021-11-14
2021-11-14 11:12:00,"C",14.5,1,13,11,12,2021-11-14
